regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Nordeste,AL,,27,,,,2020-05-17,21,3337357.0,3816,210,,
Nordeste,AL,,27,,,,2020-05-18,21,3337357.0,4031,221,,
Nordeste,AL,,27,,,,2020-05-19,21,3337357.0,4316,231,,
Nordeste,AL,,27,,,,2020-05-20,21,3337357.0,4437,251,,
Nordeste,AL,,27,,,,2020-05-21,21,3337357.0,4916,262,,
Nordeste,AL,,27,,,,2020-05-22,21,3337357.0,5302,280,,
Nordeste,AL,,27,,,,2020-05-23,21,3337357.0,5630,301,,
Nordeste,AL,,27,,,,2020-05-24,22,3337357.0,6214,316,,
Nordeste,SE,,28,,,,2020-03-15,12,2298696.0,1,0,,
Nordeste,SE,,28,,,,2020-03-16,12,2298696.0,1,0,,
Nordeste,SE,,28,,,,2020-03-17,12,2298696.0,4,0,,
Nordeste,SE,,28,,,,2020-03-18,12,2298696.0,5,0,,
Nordeste,SE,,28,,,,2020-03-19,12,2298696.0,6,0,,
Nordeste,SE,,28,,,,2020-03-20,12,2298696.0,6,0,,
Nordeste,SE,,28,,,,2020-03-21,12,2298696.0,10,0,,
Nordeste,SE,,28,,,,2020-03-22,13,2298696.0,10,0,,
Nordeste,SE,,28,,,,2020-03-23,13,2298696.0,10,0,,
Nordeste,SE,,28,,,,2020-03-24,13,2298696.0,15,0,,
Nordeste,SE,,28,,,,2020-03-25,13,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-26,13,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-27,13,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-28,13,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-29,14,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-30,14,2298696.0,16,0,,
Nordeste,SE,,28,,,,2020-03-31,14,2298696.0,19,0,,
Nordeste,SE,,28,,,,2020-04-01,14,2298696.0,20,0,,
Nordeste,SE,,28,,,,2020-04-02,14,2298696.0,23,2,,
Nordeste,SE,,28,,,,2020-04-03,14,2298696.0,25,2,,
Nordeste,SE,,28,,,,2020-04-04,14,2298696.0,27,2,,
Nordeste,SE,,28,,,,2020-04-05,15,2298696.0,32,3,,
Nordeste,SE,,28,,,,2020-04-06,15,2298696.0,32,4,,
Nordeste,SE,,28,,,,2020-04-07,15,2298696.0,36,4,,
Nordeste,SE,,28,,,,2020-04-08,15,2298696.0,36,4,,
Nordeste,SE,,28,,,,2020-04-09,15,2298696.0,39,4,,
Nordeste,SE,,28,,,,2020-04-10,15,2298696.0,42,4,,
Nordeste,SE,,28,,,,2020-04-11,15,2298696.0,42,4,,
Nordeste,SE,,28,,,,2020-04-12,16,2298696.0,44,4,,
Nordeste,SE,,28,,,,2020-04-13,16,2298696.0,44,4,,
Nordeste,SE,,28,,,,2020-04-14,16,2298696.0,45,4,,
Nordeste,SE,,28,,,,2020-04-15,16,2298696.0,46,4,,
Nordeste,SE,,28,,,,2020-04-16,16,2298696.0,48,4,,
Nordeste,SE,,28,,,,2020-04-17,16,2298696.0,53,4,,
Nordeste,SE,,28,,,,2020-04-18,16,2298696.0,71,5,,
Nordeste,SE,,28,,,,2020-04-19,17,2298696.0,83,5,,
Nordeste,SE,,28,,,,2020-04-20,17,2298696.0,86,5,,
Nordeste,SE,,28,,,,2020-04-21,17,2298696.0,92,5,,
Nordeste,SE,,28,,,,2020-04-22,17,2298696.0,117,7,,
Nordeste,SE,,28,,,,2020-04-23,17,2298696.0,124,8,,
Nordeste,SE,,28,,,,2020-04-24,17,2298696.0,144,8,,
Nordeste,SE,,28,,,,2020-04-25,17,2298696.0,153,9,,
Nordeste,SE,,28,,,,2020-04-26,18,2298696.0,159,9,,
Nordeste,SE,,28,,,,2020-04-27,18,2298696.0,197,10,,
Nordeste,SE,,28,,,,2020-04-28,18,2298696.0,280,11,,
Nordeste,SE,,28,,,,2020-04-29,18,2298696.0,337,12,,
Nordeste,SE,,28,,,,2020-04-30,18,2298696.0,447,12,,
Nordeste,SE,,28,,,,2020-05-01,18,2298696.0,517,14,,
Nordeste,SE,,28,,,,2020-05-02,18,2298696.0,601,14,,
Nordeste,SE,,28,,,,2020-05-03,19,2298696.0,730,14,,
Nordeste,SE,,28,,,,2020-05-04,19,2298696.0,772,17,,
Nordeste,SE,,28,,,,2020-05-05,19,2298696.0,898,21,,
Nordeste,SE,,28,,,,2020-05-06,19,2298696.0,998,23,,
Nordeste,SE,,28,,,,2020-05-07,19,2298696.0,1214,25,,
Nordeste,SE,,28,,,,2020-05-08,19,2298696.0,1438,28,,
Nordeste,SE,,28,,,,2020-05-09,19,2298696.0,1588,33,,
Nordeste,SE,,28,,,,2020-05-10,20,2298696.0,1771,34,,
Nordeste,SE,,28,,,,2020-05-11,20,2298696.0,1800,37,,
Nordeste,SE,,28,,,,2020-05-12,20,2298696.0,2032,37,,
Nordeste,SE,,28,,,,2020-05-13,20,2298696.0,2268,42,,
Nordeste,SE,,28,,,,2020-05-14,20,2298696.0,2494,47,,
Nordeste,SE,,28,,,,2020-05-15,20,2298696.0,2868,50,,
Nordeste,SE,,28,,,,2020-05-16,20,2298696.0,3135,53,,
Nordeste,SE,,28,,,,2020-05-17,21,2298696.0,3343,57,,
Nordeste,SE,,28,,,,2020-05-18,21,2298696.0,3566,59,,
Nordeste,SE,,28,,,,2020-05-19,21,2298696.0,3967,63,,
Nordeste,SE,,28,,,,2020-05-20,21,2298696.0,4277,69,,
Nordeste,SE,,28,,,,2020-05-21,21,2298696.0,4734,76,,
Nordeste,SE,,28,,,,2020-05-22,21,2298696.0,4922,82,,
Nordeste,SE,,28,,,,2020-05-23,21,2298696.0,5131,86,,
Nordeste,SE,,28,,,,2020-05-24,22,2298696.0,5314,93,,
Nordeste,BA,,29,,,,2020-03-06,10,14873064.0,1,0,,
Nordeste,BA,,29,,,,2020-03-07,10,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-08,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-09,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-10,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-11,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-12,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-13,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-14,11,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-15,12,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-16,12,14873064.0,2,0,,
Nordeste,BA,,29,,,,2020-03-17,12,14873064.0,3,0,,
Nordeste,BA,,29,,,,2020-03-18,12,14873064.0,3,0,,
Nordeste,BA,,29,,,,2020-03-19,12,14873064.0,30,0,,
Nordeste,BA,,29,,,,2020-03-20,12,14873064.0,33,0,,
Nordeste,BA,,29,,,,2020-03-21,12,14873064.0,41,0,,
Nordeste,BA,,29,,,,2020-03-22,13,14873064.0,49,0,,
